year_month,item_number,cumulative_lpns
2021-03,P5001449,2.0
2021-03,P5001493,1.0
2021-03,P5001503,1.0
2021-03,P5001527,1.0
2021-03,P5001530,1.0
2021-03,P5001539,3.0
2021-03,P5001545,5.0
2021-03,P5001635,0.0
2021-03,P5001688,1.0
2021-03,P5001700,2.0
2021-03,P5001748,0.0
2021-03,P5001755,0.0
2021-03,P5001777,2.0
2021-03,P5001781,16.0
2021-03,P5001800,1.0
2021-03,P5002004,1.0
2021-03,P5002088,1.0
2021-03,P5002427,2.0
2021-03,P5002561,2.0
2021-03,P5002630,1.0
2021-03,P5002636,1.0
2021-03,P5002654,1.0
2021-03,P5003175,4.0
2021-03,P5003176,1.0
2021-03,P5003554,3.0
2021-03,P5003564,-4.0
2021-03,P5003615,3.0
2021-03,P5003617,1.0
2021-03,P5003619,0.0
2021-03,P5003623,1.0
2021-03,P5003625,2.0
2021-03,P5004254,4.0
2021-03,P5004259,-1.0
2021-03,P5004266,-3.0
2021-03,P5004269,7.0
2021-03,P5004272,-10.0
2021-03,P5004279,3.0
2021-03,P5004287,1.0
2021-03,P5004293,6.0
2021-03,P5004297,3.0
2021-03,P5004300,5.0
2021-03,P5004303,10.0
2021-03,P5004347,0.0
2021-03,P5004615,2.0
2021-03,P5004617,1.0
2021-03,P5004619,2.0
2021-03,P5004621,2.0
2021-03,P5004625,1.0
2021-03,P58697,-1.0
2021-03,P6010088,1.0
2021-03,P6010097,2.0
2021-03,P6010098,-1.0
2021-03,P6010099,1.0
2021-03,P6010101,-2.0
2021-03,P6010103,1.0
2021-03,P6010108,2.0
2021-03,P6010121,2.0
2021-03,P6010130,1.0
2021-03,P6010131,3.0
2021-03,P6010142,2.0
2021-03,P6010144,4.0
2021-03,P6010149,1.0
2021-03,P6010199,1.0
2021-03,P6010253,1.0
2021-03,P6010268,1.0
2021-03,P6010319,2.0
2021-03,P6010322,2.0
2021-03,P6010350,2.0
2021-03,P6010361,0.0
2021-03,P6010362,0.0
2021-03,P6010363,-2.0
2021-03,P6010369,-1.0
2021-03,P6010370,2.0
2021-03,P6010373,2.0
2021-03,P6010375,3.0
2021-03,P6010376,2.0
2021-03,P6010443,3.0
2021-03,P6010468,0.0
2021-03,P6010499,3.0
2021-03,P6010512,2.0
2021-03,P6010590,3.0
2021-03,P6010880,2.0
2021-03,P6010882,1.0
2021-03,P6010884,2.0
2021-03,P6010886,0.0
2021-03,P6010889,2.0
2021-03,P6010893,1.0
2021-03,P6010906,1.0
2021-03,P6010909,2.0
2021-03,P6010935,1.0
2021-03,P6010971,0.0
2021-03,P6010993,1.0
2021-03,P6010998,1.0
2021-03,P6011000,1.0
2021-03,P6011020,0.0
2021-03,P6011029,3.0
2021-03,P6011033,11.0
2021-03,P6011049,10.0
2021-03,P6011353,0.0
2021-03,P6011361,0.0
2021-03,P6011452,3.0
2021-03,P6011472,2.0
2021-03,P6011548,6.0
2021-03,P6011552,7.0
2021-03,P6012510,2.0
2021-03,P6012519,1.0
2021-03,P6012611,1.0
2021-03,P6012740,0.0
2021-03,P6012744,2.0
2021-03,P6012747,4.0
2021-03,P6013051,2.0
2021-03,P6013123,1.0
2021-03,P6013142,2.0
2021-03,P6013424,1.0
2021-03,P6013462,2.0
2021-03,P6013469,7.0
2021-03,P6013507,2.0
2021-03,P6014717,-2.0
2021-03,P6014857,2.0
2021-03,P6014863,1.0
2021-03,P6014899,0.0
2021-03,P6014905,2.0
2021-03,P6014923,1.0
2021-03,P6014973,1.0
2021-03,P6015055,1.0
2021-03,P6015057,0.0
2021-03,P6015059,2.0
2021-03,P6015079,0.0
2021-03,P6015081,0.0
2021-03,P6015135,1.0
2021-03,P6015259,2.0
2021-03,P6015262,2.0
2021-03,P6015263,2.0
2021-03,P6015264,2.0
2021-03,P6015265,2.0
2021-03,P6015266,1.0
2021-03,P6015267,2.0
2021-03,P6015268,2.0
2021-03,P6015300,0.0
2021-03,P6015306,1.0
2021-03,P6015349,2.0
2021-03,P6015420,0.0
2021-03,P6015907,1.0
2021-03,P77106,1.0
2021-03,P77109,1.0
2021-03,P77119,2.0
2021-03,P77177,3.0
2021-03,P77179,-2.0
2021-03,P77214,-2.0
2021-03,P78725,0.0
2021-03,P78985,1.0
2021-03,P79011,-1.0
2021-03,P79018,2.0
2021-03,P79026,2.0
2021-03,P81485,-2.0
2021-03,P81486,-4.0
2021-03,P81487,0.0
2021-03,P81488,-1.0
2021-03,P81950,2.0
2021-03,P82329,3.0
2021-03,P82333,1.0
2021-03,P82437,1.0
2021-03,P85018,0.0
2021-03,P85166,2.0
2021-03,P85237,1.0
2021-03,P85238,1.0
2021-03,P85243,4.0
2021-03,P85246,3.0
2021-03,P85248,0.0
2021-03,P85249,1.0
2021-03,P85251,1.0
2021-03,P85254,4.0
2021-03,P85255,3.0
2021-03,P85267,2.0
2021-03,P85268,1.0
2021-03,P85285,37.0
2021-03,P85286,46.0
2021-03,P85287,55.0
2021-03,P85288,46.0
2021-03,P85289,9.0
2021-03,P85290,39.0
2021-03,P85291,34.0
2021-03,P85298,24.0
2021-03,P86236,12.0
2021-03,P90351,0.0
2021-03,P90532,-1.0
2021-03,R02940,1.0
2021-03,V1000292,-1.0
2021-03,V1000296,1.0
2021-03,V1000298,0.0
2021-03,V1000914,1.0
2021-03,V1000917,1.0
2021-03,V1000921,0.0
2021-03,V1000929,1.0
2021-03,V1000932,-1.0
2021-03,V1000945,1.0
2021-03,V1000965,-2.0
2021-03,V1000995,2.0
2021-03,V1001019,0.0
2021-03,V1001064,0.0
2021-03,V1001071,0.0
2021-03,V1001091,-1.0
2021-03,V1001098,-5.0
2021-03,V1001188,2.0
2021-03,V1001198,3.0
2021-03,V1001203,1.0
2021-03,V50837,1.0
