year,quarter,month,item_number,received_qty,shipped_qty,turnover_rate
2021,1,2,P6010635,2.0,0.0,0.0
2021,1,2,P6010637,3.0,0.0,0.0
2021,1,2,P6010671,1.0,0.0,0.0
2021,1,2,P6010880,5.0,0.0,0.0
2021,1,2,P6010882,12.0,10.0,0.8333333333333334
2021,1,2,P6010907,16.0,0.0,0.0
2021,1,2,P6010909,24.0,1.0,0.041666666666666664
2021,1,2,P6011015,10.0,0.0,0.0
2021,1,2,P6011019,6.0,0.0,0.0
2021,1,2,P6011026,1.0,0.0,0.0
2021,1,2,P6011033,12.0,0.0,0.0
2021,1,2,P6011049,10.0,0.0,0.0
2021,1,2,P6011412,2.0,0.0,0.0
2021,1,2,P6011452,4.0,0.0,0.0
2021,1,2,P6011472,12.0,0.0,0.0
2021,1,2,P6011552,5.0,0.0,0.0
2021,1,2,P6012464,2.0,0.0,0.0
2021,1,2,P6012510,4.0,0.0,0.0
2021,1,2,P6012602,2.0,0.0,0.0
2021,1,2,P6012736,1.0,0.0,0.0
2021,1,2,P6012744,1.0,0.0,0.0
2021,1,2,P6012747,1.0,0.0,0.0
2021,1,2,P6013051,4.0,0.0,0.0
2021,1,2,P6013078,4.0,0.0,0.0
2021,1,2,P6013424,6.0,0.0,0.0
2021,1,2,P6013456,7.0,0.0,0.0
2021,1,2,P6013462,4.0,0.0,0.0
2021,1,2,P6013469,4.0,0.0,0.0
2021,1,2,P6013507,5.0,0.0,0.0
2021,1,2,P6014717,150.0,84.0,0.56
2021,1,2,P6014857,2.0,0.0,0.0
2021,1,2,P6014905,12.0,0.0,0.0
2021,1,2,P6014929,12.0,0.0,0.0
2021,1,2,P6015007,1.0,0.0,0.0
2021,1,2,P6015055,1.0,0.0,0.0
2021,1,2,P6015135,2.0,0.0,0.0
2021,1,2,P6015181,4.0,0.0,0.0
2021,1,2,P6015258,24.0,0.0,0.0
2021,1,2,P6015259,20.0,0.0,0.0
2021,1,2,P6015260,12.0,0.0,0.0
2021,1,2,P6015261,24.0,0.0,0.0
2021,1,2,P6015262,24.0,0.0,0.0
2021,1,2,P6015263,24.0,0.0,0.0
2021,1,2,P6015264,24.0,0.0,0.0
2021,1,2,P6015265,24.0,0.0,0.0
2021,1,2,P6015266,24.0,0.0,0.0
2021,1,2,P6015267,36.0,0.0,0.0
2021,1,2,P6015268,24.0,0.0,0.0
2021,1,2,P6015269,24.0,0.0,0.0
2021,1,2,P6015271,24.0,0.0,0.0
2021,1,2,P6015273,24.0,0.0,0.0
2021,1,2,P6015274,24.0,0.0,0.0
2021,1,2,P6015349,24.0,0.0,0.0
2021,1,2,P6015955,12.0,0.0,0.0
2021,1,2,P6016210,24.0,0.0,0.0
2021,1,2,P75087,1.0,2.0,2.0
2021,1,2,P75148,200.0,0.0,0.0
2021,1,2,P75149,200.0,0.0,0.0
2021,1,2,P75383,5.0,0.0,0.0
2021,1,2,P77109,1400.0,0.0,0.0
2021,1,2,P77115,3496.0,0.0,0.0
2021,1,2,P77119,3456.0,0.0,0.0
2021,1,2,P77139,744.0,0.0,0.0
2021,1,2,P77177,1008.0,0.0,0.0
2021,1,2,P77179,1080.0,84.0,0.07777777777777778
2021,1,2,P78724,3000.0,0.0,0.0
2021,1,2,P78738,60.0,0.0,0.0
2021,1,2,P78922,600.0,0.0,0.0
2021,1,2,P79011,12.0,0.0,0.0
2021,1,2,P79018,50.0,0.0,0.0
2021,1,2,P79026,20.0,0.0,0.0
2021,1,2,P81485,400.0,100.0,0.25
2021,1,2,P81486,500.0,400.0,0.8
2021,1,2,P81487,200.0,80.0,0.4
2021,1,2,P81488,200.0,400.0,2.0
2021,1,2,P81498,25.0,0.0,0.0
2021,1,2,P81950,256.0,0.0,0.0
2021,1,2,P82329,60.0,0.0,0.0
2021,1,2,P82331,32.0,32.0,1.0
2021,1,2,P82364,8.0,0.0,0.0
2021,1,2,P85018,9.0,0.0,0.0
2021,1,2,P85166,48.0,48.0,1.0
2021,1,2,P85180,50.0,0.0,0.0
2021,1,2,P85237,96.0,144.0,1.5
2021,1,2,P85238,96.0,48.0,0.5
2021,1,2,P85239,180.0,180.0,1.0
2021,1,2,P85242,72.0,0.0,0.0
2021,1,2,P85245,128.0,24.0,0.1875
2021,1,2,P85246,72.0,36.0,0.5
2021,1,2,P85248,108.0,108.0,1.0
2021,1,2,P85249,16.0,0.0,0.0
2021,1,2,P85250,48.0,48.0,1.0
2021,1,2,P85252,10.0,0.0,0.0
2021,1,2,P85254,48.0,72.0,1.5
2021,1,2,P85255,72.0,0.0,0.0
2021,1,2,P85258,16.0,0.0,0.0
2021,1,2,P85265,20.0,0.0,0.0
2021,1,2,P85266,35.0,35.0,1.0
2021,1,2,P85267,35.0,0.0,0.0
2021,1,2,P85285,60.0,0.0,0.0
2021,1,2,P85286,144.0,42.0,0.2916666666666667
2021,1,2,P85287,186.0,108.0,0.5806451612903226
2021,1,2,P85288,168.0,36.0,0.21428571428571427
2021,1,2,P85289,60.0,176.0,2.933333333333333
2021,1,2,P85290,336.0,132.0,0.39285714285714285
2021,1,2,P85291,114.0,60.0,0.5263157894736842
2021,1,2,P85298,18.0,0.0,0.0
2021,1,2,P85299,8.0,0.0,0.0
2021,1,2,P86236,5.0,0.0,0.0
2021,1,2,P90524,200.0,0.0,0.0
2021,1,2,P90528,256.0,0.0,0.0
2021,1,2,V1000290,60.0,60.0,1.0
2021,1,2,V1000292,180.0,0.0,0.0
2021,1,2,V1000296,120.0,0.0,0.0
2021,1,2,V1000298,150.0,0.0,0.0
2021,1,2,V1000914,10.0,20.0,2.0
2021,1,2,V1000921,38.0,19.0,0.5
2021,1,2,V1000929,14.0,7.0,0.5
2021,1,2,V1000938,14.0,7.0,0.5
2021,1,2,V1000945,14.0,14.0,1.0
2021,1,2,V1000956,3.0,0.0,0.0
2021,1,2,V1000974,16.0,0.0,0.0
2021,1,2,V1000981,30.0,0.0,0.0
2021,1,2,V1000995,3.0,0.0,0.0
2021,1,2,V1001001,20.0,0.0,0.0
2021,1,2,V1001064,18.0,12.0,0.6666666666666666
2021,1,2,V1001091,11.0,11.0,1.0
2021,1,2,V1001098,10.0,36.0,3.6
2021,1,2,V1001188,2.0,1.0,0.5
2021,1,2,V1001198,1.0,2.0,2.0
2021,1,2,V1001203,1.0,0.0,0.0
2021,1,2,V50839,5.0,0.0,0.0
2021,1,2,V50922,400.0,0.0,0.0
2021,1,2,V50925,600.0,0.0,0.0
