item_number,transaction_date_received,Quantity_received,period,transaction_date_shipped,Quantity_shipped,ship_receive_ratio,previous_ratio
107019,2023-06-30 00:00:00,228.0,2023Q2,2023-06-30 00:00:00,330.0,1.4473684210526316,0.0
107020,2021-09-30 00:00:00,132.0,2021Q3,2021-09-30 00:00:00,264.0,2.0,
107020,2022-03-31 00:00:00,144.0,2022Q1,2022-03-31 00:00:00,126.0,0.875,2.0
107020,2022-09-30 00:00:00,72.0,2022Q3,2022-09-30 00:00:00,42.0,0.5833333333333334,0.875
107020,2022-12-31 00:00:00,30.0,2022Q4,2022-12-31 00:00:00,45.0,1.5,0.5833333333333334
107020,2023-03-31 00:00:00,132.0,2023Q1,2023-03-31 00:00:00,177.0,1.3409090909090908,1.5
107020,2023-06-30 00:00:00,42.0,2023Q2,0,0.0,0.0,1.3409090909090908
107020,2023-09-30 00:00:00,72.0,2023Q3,2023-09-30 00:00:00,148.0,2.0555555555555554,0.0
107024,2021-09-30 00:00:00,180.0,2021Q3,2021-09-30 00:00:00,72.0,0.4,
107024,2022-03-31 00:00:00,84.0,2022Q1,2022-03-31 00:00:00,72.0,0.8571428571428571,0.4
107024,2022-09-30 00:00:00,498.0,2022Q3,2022-09-30 00:00:00,30.0,0.060240963855421686,0.8571428571428571
107024,2023-03-31 00:00:00,270.0,2023Q1,2023-03-31 00:00:00,48.0,0.17777777777777778,0.060240963855421686
107034,2021-09-30 00:00:00,1104.0,2021Q3,2021-09-30 00:00:00,864.0,0.782608695652174,
107034,2021-12-31 00:00:00,432.0,2021Q4,2021-12-31 00:00:00,618.0,1.4305555555555556,0.782608695652174
107034,2022-03-31 00:00:00,480.0,2022Q1,2022-03-31 00:00:00,648.0,1.35,1.4305555555555556
107034,2022-06-30 00:00:00,264.0,2022Q2,2022-06-30 00:00:00,158.0,0.5984848484848485,1.35
107034,2022-09-30 00:00:00,2190.0,2022Q3,2022-09-30 00:00:00,242.0,0.11050228310502283,0.5984848484848485
107034,2023-03-31 00:00:00,720.0,2023Q1,2023-03-31 00:00:00,476.0,0.6611111111111111,0.11050228310502283
107034,2023-06-30 00:00:00,996.0,2023Q2,2023-06-30 00:00:00,1032.0,1.036144578313253,0.6611111111111111
110190LF,2021-06-30 00:00:00,468.0,2021Q2,2021-06-30 00:00:00,936.0,2.0,
110190LF,2021-09-30 00:00:00,2808.0,2021Q3,2021-09-30 00:00:00,1500.0,0.5341880341880342,2.0
