item_number,transaction_date_received,Quantity_received,period,transaction_date_shipped,Quantity_shipped,ship_receive_ratio,previous_ratio
107020,2022-12-31 00:00:00,246.0,2022,2022-12-31 00:00:00,213.0,0.8658536585365854,2.0
107020,2023-12-31 00:00:00,246.0,2023,2023-12-31 00:00:00,325.0,1.3211382113821137,0.8658536585365854
107024,2021-12-31 00:00:00,180.0,2021,2021-12-31 00:00:00,180.0,1.0,
107024,2022-12-31 00:00:00,582.0,2022,2022-12-31 00:00:00,379.0,0.6512027491408935,1.0
107024,2023-12-31 00:00:00,270.0,2023,2023-12-31 00:00:00,139.0,0.5148148148148148,0.6512027491408935
107034,2021-12-31 00:00:00,1536.0,2021,2021-12-31 00:00:00,1482.0,0.96484375,
107034,2022-12-31 00:00:00,2934.0,2022,2022-12-31 00:00:00,2170.0,0.7396046353101567,0.96484375
107034,2023-12-31 00:00:00,1716.0,2023,2023-12-31 00:00:00,1508.0,0.8787878787878788,0.7396046353101567
110190LF,2021-12-31 00:00:00,4680.0,2021,2021-12-31 00:00:00,3439.0,0.7348290598290599,
110190LF,2022-12-31 00:00:00,4680.0,2022,2022-12-31 00:00:00,6821.0,1.4574786324786324,0.7348290598290599
110190LF,2023-12-31 00:00:00,3744.0,2023,0,0.0,0.0,1.4574786324786324
110191LF,2021-12-31 00:00:00,54.0,2021,2021-12-31 00:00:00,144.0,2.6666666666666665,
110191LF,2022-12-31 00:00:00,48.0,2022,2022-12-31 00:00:00,48.0,1.0,2.6666666666666665
110192LF,2021-12-31 00:00:00,50076.0,2021,2021-12-31 00:00:00,53779.0,1.0739475996485341,
110192LF,2022-12-31 00:00:00,60840.0,2022,2022-12-31 00:00:00,61355.0,1.0084648257725182,1.0739475996485341
110192LF,2023-12-31 00:00:00,41148.0,2023,2023-12-31 00:00:00,43020.0,1.0454943132108487,1.0084648257725182
110193LF,2021-12-31 00:00:00,6552.0,2021,2021-12-31 00:00:00,9259.0,1.4131562881562882,
110193LF,2022-12-31 00:00:00,8892.0,2022,2022-12-31 00:00:00,8629.0,0.9704228520017993,1.4131562881562882
110193LF,2023-12-31 00:00:00,7476.0,2023,2023-12-31 00:00:00,5616.0,0.7512038523274478,0.9704228520017993
110194LF,2021-12-31 00:00:00,60.0,2021,2021-12-31 00:00:00,106.0,1.7666666666666666,
110194LF,2022-12-31 00:00:00,430.0,2022,2022-12-31 00:00:00,196.0,0.4558139534883721,1.7666666666666666
110194LF,2023-12-31 00:00:00,240.0,2023,2023-12-31 00:00:00,132.0,0.55,0.4558139534883721
110195LF,2021-12-31 00:00:00,1092.0,2021,2021-12-31 00:00:00,1092.0,1.0,
110195LF,2022-12-31 00:00:00,2792.0,2022,2022-12-31 00:00:00,1648.0,0.5902578796561605,1.0
110195LF,2023-12-31 00:00:00,780.0,2023,2023-12-31 00:00:00,2000.0,2.5641025641025643,0.5902578796561605
110196LF,2021-12-31 00:00:00,12168.0,2021,2021-12-31 00:00:00,16169.0,1.3288132807363577,
110196LF,2022-12-31 00:00:00,11232.0,2022,2022-12-31 00:00:00,8528.0,0.7592592592592593,1.3288132807363577
110196LF,2023-12-31 00:00:00,9528.0,2023,2023-12-31 00:00:00,13544.0,1.4214945424013434,0.7592592592592593
110197LF,2021-12-31 00:00:00,2160.0,2021,2021-12-31 00:00:00,2880.0,1.3333333333333333,
110197LF,2022-12-31 00:00:00,4536.0,2022,2022-12-31 00:00:00,2817.0,0.621031746031746,1.3333333333333333
110197LF,2023-12-31 00:00:00,1440.0,2023,2023-12-31 00:00:00,2043.0,1.41875,0.621031746031746
110198LF,2021-12-31 00:00:00,1140.0,2021,2021-12-31 00:00:00,595.0,0.5219298245614035,
110198LF,2022-12-31 00:00:00,240.0,2022,2022-12-31 00:00:00,240.0,1.0,0.5219298245614035
110198LF,2023-12-31 00:00:00,600.0,2023,2023-12-31 00:00:00,360.0,0.6,1.0
110199LF,2021-12-31 00:00:00,1080.0,2021,2021-12-31 00:00:00,1800.0,1.6666666666666667,
110199LF,2022-12-31 00:00:00,2340.0,2022,2022-12-31 00:00:00,2418.0,1.0333333333333334,1.6666666666666667
110199LF,2023-12-31 00:00:00,900.0,2023,2023-12-31 00:00:00,1902.0,2.1133333333333333,1.0333333333333334
111031,2021-12-31 00:00:00,1080.0,2021,2021-12-31 00:00:00,620.0,0.5740740740740741,
